S.No,State,College Name,University,Management,Estb,Seats
37,Telangana,"Government Medical College, Kodangal","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2025,50
1,Tripura,"Agartala Government Medical College, Agartala",Tripura University,State Govt.,2005,150
1,Uttarakhand,"All India Institute of Medical Sciences, Rishikesh","Statutory Autonomous, AIIMS(New Delhi)",Centaral Govt.,2021,125
2,Uttarakhand,"Doon Medical College, Dehradun","Hemwati Nandan Bahuguna Uttarakhand Medical Education University, Dehradun",State Govt.,2016,150
3,Uttarakhand,"Government Medical College (Prev.Uttarakhand Forest Hospital Trust Med.Col.), Haldwani","Kumaon University, Nainital",State Govt.,2001,125
4,Uttarakhand,"Soban Singh Jeena Government Institute of Medical Science & Research, Almora","Hemwati Nandan Bahuguna Uttarakhand Medical Education University, Dehradun",State Govt.,2021,100
5,Uttarakhand,"Veer Chandra Singh Garhwali Govt. Medical Sc. & Research Instt, Srinagar, Pauri Garhwal","Uttrakhand Technical University, Dehradun",State Govt.,2008,150
6,Uttarakhand,"Government Medical college and Hospital , Haridwar","Hemwati Nandan Bahuguna Uttarakhand Medical Education University, Dehradun",State Govt.,2024,100
1,Uttar Pradesh,"All India Institute of Medical Sciences, Gorakhpur","Statutory Autonomous, AIIMS(New Delhi)",Central Govt.,2019,125
2,Uttar Pradesh,"All India Institute of Medical Sciences, Rae Bareli","Statutory Autonomous, AIIMS(New Delhi)",Central Govt.,2019,100
3,Uttar Pradesh,"Autonomous State Medical College Society, Etah","Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2021,100
4,Uttar Pradesh,"Autonomous State Medical College Society, Fatehpur","Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2021,100
5,Uttar Pradesh,Autonomous State Medical College Society Ghazipur,"Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2021,100
6,Uttar Pradesh,"Autonomous State Medical College Society, Hardoi","Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2021,100
7,Uttar Pradesh,Autonomous State Society Medical College Mirzapur,"Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2021,100
8,Uttar Pradesh,Autonomous State Medical College Pratapgarh,"Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2021,100
9,Uttar Pradesh,"Autonomous State Medical College, Siddharthnagar","Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2021,100
10,Uttar Pradesh,"Autonomous State Medical College, Sonebhadra","Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2024,100
11,Uttar Pradesh,"BRD Medical College, Gorakhpur","Deen Dayal Upadhyay Gorakhpur University, Gorakhpur",State Govt.,1972,150
12,Uttar Pradesh,"Dr. Ram Manohar Lohia Institute of Medical Sciences,Lucknow","King Georges Medical University,Lucknow",State Govt.,2012,200
13,Uttar Pradesh,"Government Allopathic Medical College, Banda","King Georges Medical University,Lucknow",State Govt.,2016,100
14,Uttar Pradesh,"Government Medical College, Rampur, Basti","King Georges Medical University,Lucknow",State Govt.,2019,100
15,Uttar Pradesh,"Government Institute of Medical Sciences, Kasna, Greater Noida","King Georges Medical University,Lucknow",State Govt- Society,2019,100
16,Uttar Pradesh,"Government Medical College & Super facility Hospital, Azamgarh","King Georges Medical University,Lucknow",State Govt.,2013,100
17,Uttar Pradesh,"Government Medical College, Badaun",Mahatma Jyotiba Phule Rohilkhand University,State Govt.,2019,100
18,Uttar Pradesh,"Government Medical College, Faizabad","King Georges Medical University,Lucknow",State Govt.,2019,100
19,Uttar Pradesh,"Government Medical College, Firozabad","King Georges Medical University,Lucknow",State Govt.,2019,100
